SGroup,SCode,T1-Time,T1-Class,T1-Line,T1-Folder,T1-Problem,T1-Solution,T2-Time,T2-Class,T2-Line,T2-Folder,T2-Problem,T2-Solution,T3-Time,T3-Class,T3-Line,T3-Folder,T3-Problem,T3-Solution,T4-Time,T4-Class,T4-Line,T4-Folder,T4-Problem,T4-Solution,T5-Time,T5-Class,T5-Line,T5-Folder,T5-Problem,T5-Solution,Difficulty-Q1,Difficulty-Q2,Difficulty-Q3,Difficulty-Q4,Difficulty-Q5,Motivation-Q1,Motivation-Q2,Motivation-Q3,Motivation-Q4,Motivation-Q5
FH,AIOEUL,1036061,MediaUtil,25,Sorting,Por que no createMediaData sempre é definido o valor 0,"Antes de setar o valor, pegar o valor atual e setar +1",734184,MediaController,36,Video,O método getMediaInfo não foi encontrada,Criar o método getMediaInfo na classe de definição.,631872,MediaController,51,Favourites,"o terceiro parametro da chamada da função 
showMediaList é enviada com valor false;","definir o terceiro parametro da chamada da função 
showMediaList com valor true;",406006,MediaListController,,Sorting,"O método responsável pela ordenção 
só exibe uma sáida no terminal e mais nada","Implementar o código de ordenação 
no método responsável",306291,MediaController,13,AccessControl,"O retorno da chamada do método hasDeleteRights
sempre retorna um false, e a comparação do if
nega o valor de retorno, sendo assim se tornando
verdadeiro.","retirar da clausula if o simbolo de negação ""!"".",2,1,2,3,4,1,1,2,4,4
FH,amj5re,1103171,MediaUtil,16,Sorting,Por uma passagem de paranmetro indevido da método 'parseInt' da classe Integer,definindo a conversão correta para o tipo de retorno desejado,1254345,MediaController,21,Video/lancs/mobilemedia/core/ui/controleer,o tipo de retorno do método playVideoMedia é boolean mas o retorno uma vez que é incrementado nao garante que o retorno seja boolean,"primeiramente implementar o método 'incrementCountViews'
pois a classe MediaController não extende e nem implementa nenhum dos imports
logo esse método não faz nada",1130655,MediaListScreen,51, Favourites/lancs/mobilemedia/core/ui/screens,"porque essa classe não faz nenhuma referencia/chamada as funcionalidades da Classe MediaListScreen presente na pasta de mesma raiz 'screens'
data MediaData da pasta datamodel aparenta não está totalmente implementada e nao é referenciada/chamada pelo controlador","1. Definir MediaData
2. Utlilizar os as funcionalidades de MédiaData e MediaListScreen em No MediaController
",667424,MediaListScreen,10,Photo/lancs/mobilemedia/core/ui/screens,"Não encontrei nenhuma referência a classe Sorting na classe MediaListScreen,
também não encontrei em nenhuma fase da implementacao dessa seleção a utilização de MediaListScreen",As funcionalidades de Sorting devem ser implementadas em MediaListScreen,531137,MediaController,13,AccessControl/lancs/mobilemedia/core/ui/controler,A classe  AccessController em momento algum avalia se uma determinado usuário possui ou nao permissão para excluir,o método poderia receber os parametro user e image hasDeleteRights e com base na relação entre eles permitir ou nao a modificação.,1,1,0,0,0,2,2,2,3,3
FH,CASÇAE,1458987,MediaListController.java,34,Sorting/controller,Infelizmente não sei. ,Infelizmente não sei. ,1264773,SelectMediaController,27,AtLeastTwoTypes_AND_Video,"Por que a caracterisitca ""Video"" está escrita no plural, sendo assim, essa palavra não é reconhecida.",Apenas colocando a caracteristica Video no singular.,760775,MediaController,51,Favourites,não sei,não sei,813396,MediaController,21,Sorting,Não sei,Não sei,768353,MediaController,13,AcessControl,não sei,não sei,4,4,4,3,3,2,2,2,2,2
FH,CETHAS,485807,MediaListController,32,Sorting,"A variável ""end"" está decrementando (end--)","A variável ""end"" deverá incrementar (end++)",828386,PlayVideoController,39,Video,O código do método startVideo não foi localizado.,Criar o método startVideo,484021,MediaListScreen,8,Favourites,As opções de menu estão com o mesmo índice (1),Reordenar o índice,289178,MediaListScreen,8,Sorting,Na referida linha o método carregado é original(),Deve-se colocar na inicialização o método para sortear,384978,MediaController,13,AccessControl,Método handleCommand faltando confirmação pelo usuário,Corrigir o método handleCommand,3,2,2,99,3,1,2,2,2,1
FH,CJAEEN,1664351,MediaData.java,2,Sorting\lancs\mobilemedia\core\ui\datamodel,Porque o atributo não é static.,"private static int numberOfViews = 0;
",1064139,MediaController.java,30,Video\lancs\mobilemedia\core\controller\,O método prepareController não faz nada.,"O método prepareController deveria preparar o video com o nome ""name"" para ser exebido.",934419,MediaController.java,51,lancs.mobilemedia.core.ui.controller,O showMediaList deveria ser executado após a linha 52.,Inverter linhas 51 com linha 52.,521166,MediaData.java,2,Sorting.lancs.mobilemedia.core.ui.datamodel,Porque o número de vizualizações retorna sempre 0.,colocar o atributo numberOfViews como static final,658867,MediaController.java,15,AccessControl,Porque o método handleCommand retorna true para deletar.,Alterar para false.,3,3,3,3,3,1,1,1,1,1
FH,DAIEUT,1573667,,,SmsFeature,,,575865, 	public boolean handleCommand(Command command),27,Controller ,,,806503,,,SelectTypeOfMeida.java,,,240502,,,SortPhoto,,,81505,,,,,,3,3,3,3,99,1,1,1,99,99
FH,EETELI,819205,MediaListController.java,31,Sorting/lancs/mobilemedia/core/ui/controller,Porque ao entrar no laço iniciado na linha 33 o if da linha 34 nunca é executado,,459974,MediaController.java,4,Video/lance/mobilemedia/core/ui/controller,"Porque a varIável setada na linha 5 (PLAYVIDEO) é diferente da variável testada no laço da linha 10 (SHOWPHOTO), com isso o camando da linha 11 (addCommand) não é executado.",Alterando a valor comparado no teste do if (linha 10) para a valor PLAYVIDEO,1332243,MediaController,50,Favourites/lancs/mobilemedia/core/ui/controller,Porque o segundo argumento da linha 51 está setado para false,Setando esse argumento para true,647831,MediaListController.java,30,Sorting/lancs/mobilemedia/core/ui/controller,"Porque o método responsável pela ordenação (public void bubbleSort) não foi implementado.

Repare que foi inserido um comentário no código informando isso (//TODO implement bubbleSort)",Implementar o método,1327181,AlbumController.Java,73,Base/lancs/mobilemedia/core/ui/controller,"Houve dificuldade de implementar o controle sobre o comando Yes - Delete, confirmando a exclusão do album de imagens.

Isso fica claro no comentário da linha 73 (I think this confirmation questions are complicating the implementation)",Implementar o controle excluindo a possibilidade dele poder excluir imagens,4,3,3,4,1,3,2,2,3,1
FH,saccal,1421452,MediaData.java,2,Sorting,"O método incrementCountViews da classe MediaController (refinada na feature sorting), instancia o objeto MediaData a partir da busca pelo nome da imagem, porém, o atributo numberOfViews é sempre inicializado em 0 na classe MediaData (refinada na feature sorting):
private int numberOfViews = 0;
Por isso o contador é sempre mostrado com o valor 0 quando as imagens são listadas.
","Retirar o valor de inicialização do atributo:
private int numberOfViews;
",2278369,MediaListScreen.java,10,Video,"A classe MediaListScreen.java da feature Base adiciona apenas os seguites comandos à tela de listagem: Add, Delete, Back, Edit Label.
O refinamento da classe MediaListScreen.java, que fica na feature Video deveria adicionar o comando Play Video à tela, mas faz um if onde o o tipo da tela é testado de forma errada:

if (typeOfScreen == SHOWPHOTO)
    this.addCommand(playVideoCommand);
 ","Na linha 10, o teste deveria ser feito com a constante PLAYVIDEO:

if (typeOfScreen == PLAYVIDEO)",1937891,MediaListController.java,?,Favourites,"O comando View Favourites foi adicionado à tela MediaListScreen na feature Favourites, porémm, o método para ser executado quando o botão for acionado não foi implamentado no controller MediaListScreen.java.
","Não basta implementar na classe MediaControler.java, precisaria implementar o acesso ao comando na classe MediaListController.java.",0,<empty>,<empty>,<empty>,<empty>,<empty>,0,<empty>,<empty>,<empty>,<empty>,<empty>,3,3,3,99,99,1,1,0,99,99
FH,SLACOL,1801620,,,,,,2271078,MediaListScreen,10,Video.lancs.mobilemedia.core.ui.screens,"O comando ""Play Video"" só vai aparecer se a tela for de foto (SHOWFOTO) e não PLAYVIDEO.",Trocando o critério de adição para testar com PLAYVIDEO.,450686,MediaController,51,Favourites.lancs.mobilemedia.core.ui.controller,"Favoritos, terceiro parametro do método showMediaList está marcado como false.",Trocar o terceiro parametro dessa linha para true,478202,MediaListController,30,Sorting.lancs.mobilemedia.core.ui.controller,"O método bubbleSort(MediaData[] medias), responsavel pela ordenação das imagens, ainda não foi implementado.
",Implementar corretamente o método bubbleSort(MediaData[] medias) da classe em questão.,833841,MediaController,12,AccessControl.lancs.mobilemedia.core.ui.controller,"O label correto para a função de remoção seria ""Delete"" e não ""Delete Label"". A condição aí vais er sempre falsa e ele não vai testar os direitos.","Trocar, na referida linha, ""Delete Label"" por ""Delete"".",0,1,3,3,3,1,2,3,4,4
IFDEF,a,680387,,,<empty>,não conseguir encontrar.,não conseguir encontrar.,1729744,PlayVideoScreen,39,<empty>,,,922790,,,<empty>,,,223189,,,<empty>,,,211652,AccessController,10,<empty>,,,2,2,2,99,2,0,99,99,99,0
IFDEF,AIRELN,1655547,MediaController.java,118,<empty>,,,911135,,,<empty>,,,771154,,,<empty>,,,157952,,,<empty>,,,44401,,,<empty>,,,2,99,99,99,99,99,99,99,99,99
IFDEF,alislb,1329359,mediaData,27,<empty>,"O valor do total de visualizações, na classe, esta setada como zero.
Sempre que o setNumberOfViews é chamada, zero é retornado.","Ao invés de setar para zero, apenas atualizar o valor, com base na quantidade de visualizações anteriores.",952188,VideoMediaAccessor,36,<empty>,A variável default_album_name não foi declarada.,"Declarar variável default_album_name, assim albumname do método addVideoData terá um valor válido.",1205960,MediaController,300,<empty>,"A flag para mostrar os favoritos está setada como false.
No laço correpondente que os favoritos são (ou pelo menos deveria) serem exibidos, como a flag é falsa, não é executado o if que os mostram. ",Setar o último parâmetro da chamada ao método showMediaList como true. ,993818,MediaListController,167,<empty>,Algoritmo de ordenação do bubleSort não está implementado.,Implementar bublesort.,1462631,MediaController,91,<empty>,Não existe o método gotoAccessDeniedScreen.,Escrever o método gotoAccessDeniedScreen ou alterar o nome do AccessDeniedScreen.,3,3,2,2,1,2,3,1,2,1
IFDEF,ATAEEI,864895,MediaListController,136,<empty>,O teste que é feito no If,"Colocar um teste, no caso seria se a medias[i] == favorite",1066454,MediaController,138,<empty>,Acho que é quando selectedMediaName = getSelectedMediaName,"Fiquei muito em dúvida se o erro era esse, mas acho que a variavél recebe o valor errado",782386,MediaListController,138,<empty>,Os dois comandos do If e Else executam a mesma coisa,mudar o comando else,579781,MediaController,258,<empty>,não existe um identificador de posição para a lista,colocar uma várivél para identificar a posição na lista,474537,MediaController,89,<empty>,está dando acesso para qualquer um excluir no if,"colocar outra condição, que apenas adm pode exluir ",4,4,3,2,1,1,1,1,1,1
IFDEF,CAAHEM,1537671,mediadata,70,<empty>,Não sei,Não sei,573582,playvideocontrole,100,<empty>,Porque o comando dele está public e esta em bolean,O comando deveria ser private,362607,mediadata,32,<empty>,por que está como bolean,Deveria ser string,1155222,MediaKistControler,87,<empty>,Acontece por que medialist está recebendo nulo,medialist está deverá receber um ++,352366,MediaContorller,89,<empty>,Por que a classe está dando permissão para todos deletar',Deve dar pemissão a um determiado usuario,2,2,2,2,2,1,1,1,2,2
IFDEF,caeedn,1806023,MediaUtil,157,<empty>,Na linha 157 é chamado o método setNumberOfViews e tribui o valor zero para o número de visualizações.,Ao invés de chamar o método setNumberOfViews deveria chamar o método increaseNumberOfViews da classe MediaData para incrementar o número de visualizações.,2214703,MediaController,394,<empty>,"O problema acontece porque no método startVideo 
não foi executado.
","Poderia chamar o método startVideo() do objeto 
playscree, depois linha 393.",1320945,MediaController,300,<empty>,"Na linha 300 ao chamar o método 
showMediaList(getCurrentStoreName(), false, false);
o último parâmetro informado é falso, por isso 
não está exibindo o favorito.
","Na linha 300 ao chamar o método 
showMediaList(getCurrentStoreName(), false, false);
o último parâmetro deve ser true.",505676,MediaListController,167,<empty>,"O erro aconteceu porque o método bubbleSort não 
teve a lógica de implementação implementada",Implementar o algoritmo de ordenação bubbleSort.,2117351,MediaController,92,<empty>,Porque método handleCommand está retornando true,O método deveria retornar false;,4,4,3,3,3,2,2,2,4,2
IFDEF,cantan,2803911,?,?,<empty>,Eu realmente não consegui encontrar onde está o erro.,,1013172,?,?,<empty>,"Também não achei. Suspeito de algo no PlayVideoScreen, mas o que é de fato não sei.",,989217,?,?,<empty>,Sem sucesso novamente.,,987817,?,?,<empty>,"Desculpe, nada de novo.",,1573087,MediaController,91,<empty>,"Por mais que o access control mostre a tela de acesso negado, não há nada que trate o comportamento para evitar a deleção de arquivo.",Colocar o retorno do handleControl para false,4,3,1,0,0,99,99,99,99,99
IFDEF,EATEOM,1547117,MediaData,27,<empty>,"Porque quando a característica includeSorting é selecionada, a instância MediaData é criada com valor default zero.","Retirar essa atribuição e, após garantir que todas as midias estão de fato incrementando o seu número de view através do método MediaData.increaseNumberOfViews(), garantir que a conversão de mídia presente o MediaData da mídia anterior.",960153,PlayVideoScreen,42,<empty>,"Não existe este de nulidade do atributo player, nem sysout no catch. Portanto se o player for nulo, vai dar nullpointerexception e no catch apenas o stacktrace será escrito.","Inclusão de um teste de nulidade no player para só invocar o método start() se player não for nulo e, adicionalmente incluir sysout no catch. Assim se algum outro erro inesperado acontecer, uma mensagem tratada será exibida na console.",976188,MediaListController,61,<empty>,"Porque na implementação do command da tela (método handleCommand) só existe implementação para o command ""Select"". ","Implemenar um commardo para a ação ""View Favorites"" que invocasse o showMediaList, passando ""true"" no primeiro 3 parametro.
 ",311164,MediaListController,61,<empty>,"Não está implementado o command para a ação ""Sort by Views"""".","Implementar o command para a ação ""Sort by Views"" que chame o showMediaList(...) passando true no segundo parametro.
",591884,MediaController,89,<empty>,"O teste da string que identifica o command está errado. Deveria ser ""Delete"" e está ""Delete Label"". Desta forma a condição que deveria impedir a exclusão por parte de usuários não autorizados (!AccessController.hasDeleteRights()) não funciona adequadamente. ","Mudar a string de comparação para ""Delete"".",1,2,3,3,3,1,2,3,3,3
IFDEF,faeov,762011,MediaData,25;145,<empty>,não sei.,"nao sei.
",833834,,,<empty>,nao encontrei nenhum includeVideo/b>,,429923,,,<empty>,não encontrei ,,372601,MediaControlle ,118; 254; 346; 385; 423;  ,<empty>,não sei,,277049,MediaControlle extends MediaController,88; 416;,<empty>,não sei,,0,0,0,0,0,1,2,2,2,2
IFDEF,iorrai,1143043,MediaController.java,427,<empty>,"O problema lógico é que está criando uma nova instância da clase ""MediaData.java"", assim:
""MediaData image = getAlbumData().getMediaInfo(selectedImageName);""

Pelo que ela inicia novamente o contador=0.","Simplemente criando a instância da clase ""MediaData.java"" fora do método ""incrementCountViews"" durante a session.",2732362,MediaController.java,391,<empty>,"Não encontrei o método ""getVideoFromRecordStore"" na clase ""AlbumData"".","Criar o método ""getVideoFromRecordStore"" na clase ""AlbumData""",1034658,MediaController.java,300,<empty>,"O segundo ""false"" está errado em:
deshowMediaList(getCurrentStoreName(), false, false);","O segundo ""false"" deve ser ""true"" em:
deshowMediaList(getCurrentStoreName(), false, false);",421143,MediaController,427,<empty>,"Cada que entra ao método ""incrementCountViews"" está iniciando uma nova instância da clase ""MediaData"" pelo que o contador de visualizações é sempre 0(cero).
","Inicializar a clase ""MediaData"" fora do método e conservar-la dentro da memoria.",1106386,MediaController,92,<empty>,"Sempre retorna true porque ele sempre entra no ""if"" da linha 90.",Retornar false na linha 92.,3,2,1,0,0,2,1,0,0,1
IFDEF,MRLEAR,3367760,MediaUtil,425,<empty>,A Classe MediaData tem a variável privada NumberOfViews e sua void getNumberOfViews. A classe MediaUtil deveria utilizar o método Get para o tratamentop de excessão. ,,2158147,MediaController,?,<empty>,"não identifiquei a linha do problema, por isso não posso sugerir o que aconteceu.",idem,606391,MediaController,299,<empty>,não sei descrever,não sei descrever,733152,não localize,não localize,<empty>,não localize,não localize,533012,MediaController,417,<empty>,"executa gotoAccessDeniedScreen(), gerando uma mensagem de erro mas não impede o acesso",não sei resolver,2,2,2,2,2,2,1,0,0,1
IFDEF,SANÇEC,1236480,MediaUtil.java,157,<empty>,"// #ifdef includeSorting
	ii.setNumberOfViews(0);
// #endif

No momento da conversão set para 0;",passando o paramentro correto: int views,543109,,,<empty>,,,1334180,,,<empty>,Não encontrei problemas.,Não encontrei problemas.,584394,MediaListController,167,<empty>,"Método não está implementado.
// TODO implement bubbleSort
",Basta implementar o bubbleSort,248002,AcessController,10,<empty>,"O método não foi implementado.


//TODO: add security policy later
//deactivate delete rights for now
",Fazendo a implementação devida.,2,3,2,1,0,1,0,0,3,4
